iter	MultiClass
0	1.790514038
1	1.788536114
2	1.78681261
3	1.785183675
4	1.783155412
5	1.781786408
6	1.779498352
7	1.778127437
8	1.776373833
9	1.774766993
10	1.773461067
11	1.770986
12	1.768870735
13	1.766387024
14	1.764945055
15	1.762911936
16	1.760876923
17	1.759262057
18	1.757250336
19	1.755583465
20	1.754492418
21	1.753047855
22	1.751186241
23	1.750571987
24	1.748941939
25	1.747589232
26	1.746012351
27	1.744340318
28	1.742230421
29	1.74105272
30	1.73972016
31	1.737764533
32	1.736689813
33	1.735377872
34	1.733459048
35	1.731347476
36	1.729888478
37	1.728045497
38	1.726459943
39	1.724815287
40	1.723617975
41	1.721673396
42	1.720366443
43	1.718065745
44	1.717445282
45	1.716166076
46	1.71473001
47	1.713908627
48	1.712276787
49	1.710870945
50	1.709435893
51	1.708154846
52	1.707317359
53	1.706163355
54	1.704239699
55	1.702876669
56	1.701134431
57	1.699709281
58	1.698298292
59	1.696986341
60	1.695719484
61	1.694734425
62	1.693289261
63	1.692190188
64	1.691362146
65	1.689553652
66	1.688569185
67	1.687354377
68	1.68626456
69	1.684149626
70	1.683370085
71	1.681924229
72	1.680853476
73	1.679636178
74	1.677869837
75	1.676457241
76	1.675466422
77	1.673695728
78	1.672484006
79	1.671481489
80	1.66989408
81	1.668324959
82	1.667195008
83	1.665168002
84	1.664130076
85	1.662794149
86	1.661542849
87	1.660310702
88	1.658930596
89	1.657860114
90	1.656829164
91	1.655763231
92	1.654729399
93	1.652873598
94	1.651772426
95	1.65067361
96	1.649528291
97	1.648470694
98	1.647242414
99	1.646362867
100	1.644955663
101	1.644056871
102	1.643037498
103	1.641545397
104	1.640391231
105	1.639181233
106	1.638227799
107	1.637338922
108	1.636312178
109	1.635463393
110	1.633752451
111	1.632649535
112	1.631440288
113	1.630940843
114	1.629651061
115	1.628577701
116	1.627669606
117	1.626936825
118	1.625922127
119	1.624663249
120	1.624067323
121	1.623228987
122	1.622225723
123	1.621336605
124	1.620105624
125	1.619367946
126	1.618121012
127	1.617419939
128	1.616193018
129	1.614885115
130	1.613811442
131	1.612753024
132	1.611695824
133	1.610739003
134	1.609559024
135	1.609010482
136	1.607859732
137	1.607121314
138	1.605821113
139	1.604771752
140	1.604157495
141	1.603075948
142	1.601843779
143	1.601019055
144	1.599665741
145	1.598779184
146	1.598009961
147	1.597272346
148	1.595945895
149	1.594915421
150	1.593524899
151	1.592013759
152	1.590674036
153	1.58982846
154	1.587810832
155	1.586482549
156	1.585737944
157	1.584629312
158	1.582816332
159	1.581231088
160	1.580377541
161	1.579279184
162	1.578352076
163	1.577148113
164	1.575898243
165	1.574549614
166	1.573491526
167	1.572583756
168	1.571140744
169	1.570255301
170	1.569344823
171	1.568476626
172	1.567040956
173	1.56567797
174	1.564826455
175	1.563850249
176	1.562843307
177	1.561632569
178	1.560472963
179	1.559480843
180	1.55839161
181	1.557667526
182	1.556393848
183	1.555384006
184	1.553917865
185	1.553029853
186	1.551727199
187	1.550759913
188	1.549643494
189	1.548632451
190	1.547584983
191	1.546636926
192	1.545889515
193	1.544033085
194	1.543076308
195	1.542193905
196	1.541096051
197	1.540099306
198	1.538877812
199	1.537727865
