iter	Passed	Remaining
0	16	3290
1	31	3079
2	45	2985
3	59	2929
4	73	2885
5	88	2856
6	102	2835
7	116	2807
8	131	2786
9	145	2771
10	160	2752
11	174	2737
12	189	2729
13	204	2714
14	218	2697
15	232	2679
16	247	2664
17	261	2640
18	275	2625
19	289	2607
20	303	2587
21	317	2566
22	331	2552
23	346	2537
24	360	2523
25	374	2509
26	389	2495
27	403	2478
28	418	2466
29	432	2451
30	446	2435
31	461	2420
32	475	2405
33	490	2393
34	506	2385
35	520	2373
36	536	2361
37	550	2346
38	565	2333
39	579	2317
40	593	2302
41	607	2286
42	622	2271
43	636	2258
44	650	2240
45	664	2225
46	679	2211
47	693	2196
48	708	2182
49	723	2169
50	737	2154
51	751	2140
52	767	2127
53	781	2112
54	795	2098
55	810	2083
56	825	2070
57	839	2055
58	853	2039
59	867	2024
60	882	2010
61	896	1995
62	911	1981
63	925	1967
64	939	1951
65	954	1937
66	968	1921
67	982	1907
68	996	1892
69	1011	1878
70	1025	1863
71	1040	1849
72	1054	1835
73	1069	1820
74	1084	1806
75	1098	1792
76	1112	1777
77	1127	1763
78	1142	1749
79	1156	1735
80	1170	1720
81	1184	1705
82	1199	1690
83	1214	1677
84	1228	1662
85	1243	1647
86	1257	1633
87	1271	1618
88	1286	1604
89	1301	1590
90	1315	1575
91	1329	1561
92	1344	1546
93	1359	1532
94	1374	1518
95	1388	1504
96	1402	1489
97	1416	1474
98	1430	1459
99	1445	1445
100	1458	1429
101	1473	1415
102	1487	1401
103	1501	1386
104	1516	1371
105	1530	1357
106	1544	1342
107	1558	1327
108	1573	1313
109	1587	1298
110	1602	1284
111	1616	1270
112	1630	1255
113	1644	1240
114	1659	1226
115	1673	1212
116	1687	1197
117	1701	1182
118	1715	1167
119	1730	1153
120	1744	1138
121	1758	1123
122	1772	1109
123	1786	1094
124	1800	1080
125	1814	1065
126	1828	1051
127	1842	1036
128	1857	1022
129	1871	1007
130	1886	993
131	1900	979
132	1915	964
133	1929	950
134	1943	935
135	1957	921
136	1971	906
137	1985	891
138	1999	877
139	2013	862
140	2027	848
141	2041	833
142	2055	819
143	2070	805
144	2083	790
145	2098	776
146	2111	761
147	2125	746
148	2140	732
149	2154	718
150	2168	703
151	2183	689
152	2197	675
153	2212	660
154	2226	646
155	2241	632
156	2255	617
157	2270	603
158	2285	589
159	2299	574
160	2314	560
161	2328	546
162	2342	531
163	2357	517
164	2371	503
165	2386	488
166	2401	474
167	2415	460
168	2430	445
169	2444	431
170	2459	417
171	2474	402
172	2489	388
173	2503	374
174	2518	359
175	2532	345
176	2546	330
177	2561	316
178	2575	302
179	2589	287
180	2603	273
181	2616	258
182	2631	244
183	2645	230
184	2660	215
185	2674	201
186	2688	186
187	2702	172
188	2716	158
189	2730	143
190	2745	129
191	2759	114
192	2773	100
193	2788	86
194	2802	71
195	2816	57
196	2830	43
197	2844	28
198	2858	14
199	2872	0
